text,gold_labels,generated
Clofazimine enteropathy caused by crystal deposition can be life-threatening.,"[['Clofazimine', 'enteropathy'], ['Clofazimine', 'life-threatening']]","[['Clofazimine', 'Crystallodeposition'], ['Clofazimine', 'Clofazimine enteropathy']]"
"Agranulocytosis is a rare adverse effect associated with prolonged vancomycin therapy, and is potentially serious, especially in end stage renal disease (ESRD) patients.","[['vancomycin', 'Agranulocytosis']]","[['vancomycin', 'Agranulocytosis']]"
Intensive high-flux hemodiafiltration is often used in the management of vancomycin toxicity.,"[['vancomycin', 'vancomycin toxicity']]","[['vancomycin', 'vancomycin toxicity']]"
Pulmonary fibrosis is a complication of paclitaxel therapy that may occur despite treatments with corticosteroids.,"[['paclitaxel', 'Pulmonary fibrosis']]","[['paclitaxel', 'Pulmonary fibrosis']]"
Carbamazepine-induced systemic lupus erythematosus-like disease.,"[['Carbamazepine', 'systemic lupus erythematosus-like disease']]","[['Carbamazepine','systemic lupus erythematosus-like disease']]"
We concluded that the colonic ulcer and the sigmoidovesical fistula had been caused by the administration of calcium polystyrene sulfonate and sorbitol.,"[['calcium polystyrene sulfonate', 'colonic ulcer'], ['sorbitol', 'colonic ulcer'], ['calcium polystyrene sulfonate', 'sigmoidovesical fistula'], ['sorbitol', 'sigmoidovesical fistula']]","[['calcium polystyrene sulfonate', 'colonic ulcer'], ['sorbitol','sigmoidovesical fistula'], ['calcium polystyrene sulfonate','sigmoidovesical fistula']]"
Trimethoprim-sulfamethoxazole-induced hepatotoxicity in a pediatric patient.,"[['Trimethoprim-sulfamethoxazole', 'hepatotoxicity']]","[['Trimethoprim-sulfamethoxazole', 'hepatotoxicity']]"
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,"[['heparin', 'hemorrhagic complications'], ['heparin', 'thrombocytopenia']]","[['heparin', 'thrombocytopenia'], ['heparin', 'hemorrhagic complications']]"
RESULTS: Replacing valproate with lamotrigine resulted in a decrease in serum testosterone concentrations in all 3 women.,"[['valproate', 'serum testosterone']]","[['valproate', 'decrease in serum testosterone concentrations'], ['lamotrigine', 'decrease in serum testosterone concentrations']]"
DISCUSSION: The occurrence of priapism in our patient was related to zuclopenthixol.,"[['zuclopenthixol', 'priapism']]","[['zuclopenthixol', 'priapism']]"
Acute dystonia during pegylated interferon alpha therapy in a case with chronic hepatitis B infection.,"[['pegylated interferon alpha', 'Acute dystonia']]","[['pegylated interferon alpha', 'Acute dystonia']]"
This supports the well-reported potential of bleomycin to trigger acral vascular toxicity.,"[['bleomycin', 'acral vascular toxicity']]","[['bleomycin', 'acral vascular toxicity']]"
Interstitial pneumonitis associated with sirolimus: a dilemma for lung transplantation.,"[['sirolimus', 'Interstitial pneumonitis']]","[['sirolimus', 'Interstitial pneumonitis']]"
Ifosfamide is a known nephrotoxic drug with demonstrated tubulopathies.,"[['Ifosfamide', 'tubulopathies']]","[['Ifosfamide', 'tubulopathies'], ['Ifosfamide', 'nephrotoxic']]"
Clinicians should be cognizant of this possibility and consider a diagnosis of HDAs in patients with ongoing thrombosis who are receiving heparin therapy.,"[['heparin', 'thrombosis']]","[['heparin', 'HDAs']]"
Hemorrhage from a falx meningioma after internal use of low-dose aspirin.,"[['aspirin', 'Hemorrhage']]","[['aspirin', 'Hemorrhage']]"
The case of a 29-year-old man suffering from falciparum malaria disease who got a reversible hearing loss from quinine therapy is presented.,"[['quinine', 'reversible hearing loss']]","[['quinine','reversible hearing loss']]"
Allergic contact dermatitis to compound tincture of benzoin.,"[['benzoin', 'Allergic contact dermatitis']]","[['benzoin', 'Allergic contact dermatitis']]"
A case of severe acute hepatitis caused by cyproterone acetate in a 71 year old man with prostatic carcinoma is reported with a review of the literature on hepatic reactions to this drug.,"[['cyproterone acetate', 'severe acute hepatitis']]","[['cyproterone acetate','severe acute hepatitis']]"
PURPOSE: To present a case of respiratory depression following the administration of nebulised morphine.,"[['morphine', 'respiratory depression']]","[['morphine','respiratory depression']]"
"A 62-year-old Indian with diabetic nephropathy controlled with metformin, developed miliary tuberculosis for which he was treated with rifampicin, isoniazid and ethambutol.","[['metformin', 'miliary tuberculosis']]","[['metformin','miliary tuberculosis']]"
"Although lung specimens were lacking from these three patients, it is suggested that the pulmonary toxicity of CCNU may be dose-related.","[['CCNU', 'pulmonary toxicity']]","[['CCNU', 'pulmonary toxicity']]"
"Proliferation of abnormal bone marrow histiocytes, an undesired effect of granulocyte macrophage-colony-stimulating factor therapy in a patient with Hurler's syndrome undergoing bone marrow transplantation.","[['granulocyte macrophage-colony-stimulating factor', 'Proliferation of abnormal bone marrow histiocytes']]","[['granulocyte macrophage-colony-stimulating factor', 'Proliferation of abnormal bone marrow histiocytes']]"
Epstein-Barr virus-associated lymphoproliferative disorder in a patient with rheumatoid arthritis on methotrexate and rofecoxib: idiosyncratic reaction or pharmacogenetics?,"[['methotrexate', 'Epstein-Barr virus-associated lymphoproliferative disorder'], ['rofecoxib', 'Epstein-Barr virus-associated lymphoproliferative disorder']]","[['methotrexate', 'Epstein-Barr virus-associated lymphoproliferative disorder'], ['rofecoxib', 'Epstein-Barr virus-associated lymphoproliferative disorder']]"
The relationship between infliximab treatment and lymphoma in Crohn's disease.,"[['infliximab', 'lymphoma']]","[['infliximab', 'lymphoma']]"
Linezolid-associated acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (DRESS) syndrome.,"[['Linezolid', 'acute interstitial nephritis'], ['Linezolid', 'DRESS'], ['Linezolid', 'drug rash with eosinophilia and systemic symptoms']]","[['Linezolid', 'acute interstitial nephritis'], ['Linezolid', 'drug rash with eosinophilia and systemic symptoms'], ['Linezolid', 'DRESS']]"
Early ritonavir-induced maculopapular eruption.,"[['ritonavir', 'maculopapular eruption']]","[['ritonavir','maculopapular eruption']]"
A patient that received methadone for cancer-associated pain developed myoclonus as a side effect.,"[['methadone', 'myoclonus']]","[['methadone','myoclonus']]"
"After 39 hours on argatroban, the infusion was stopped when minor bleeding was observed with a concurrent activated partial thromboplastin time (aPTT) of 100 seconds.","[['argatroban', 'bleeding']]","[['argatroban','minor bleeding']]"
Acute renal failure following intravenous immunoglobulin therapy in a HIV-infected patient.,"[['immunoglobulin', 'Acute renal failure']]","[['immunoglobulin', 'Acute renal failure']]"
"Captopril-associated ""pseudocholangitis'.","[['Captopril', 'pseudocholangitis']]","[['Captopril', 'pseudocholangitis']]"
A 52-year-old woman developed symmetric sensorimotor polyneuropathy and cerebellar syndrome after 24 months of amiodarone treatment.,"[['amiodarone', 'cerebellar syndrome'], ['amiodarone', 'symmetric sensorimotor polyneuropathy']]","[['amiodarone', 'cerebellar syndrome'], ['amiodarone','symmetric sensorimotor polyneuropathy']]"
Initiation of posaconazole led to clinical improvement until the patient's demise from bacteremic vancomycin-resistant enterococcal peritonitis.,"[['posaconazole', 'enterococcal peritonitis']]","[['posaconazole', 'bacteremic vancomycin-resistant enterococcal peritonitis']]"
Disseminated tuberculous lesions post intravesical BCG therapy are rare but need to be identified and treated quickly.,"[['BCG', 'Disseminated tuberculous lesions']]","[['BCG', 'Disseminated tuberculous lesions']]"
Diabetes Mellitus was observed in a patient given carbamazepine.,"[['carbamazepine', 'Diabetes Mellitus']]","[['carbamazepine', 'Diabetes Mellitus']]"
"The patient was positive for antibody against complexes of heparin and platelet factor 4, and was diagnosed as heparin-induced thrombocytopenia with thrombosis syndrome (HITTS).","[['heparin', 'thrombocytopenia'], ['heparin', 'thrombosis syndrome']]","[['heparin', 'thrombocytopenia'], ['heparin', 'thrombosis syndrome'], ['heparin', 'HITTS']]"
We report a case of severe hypotension associated with intravenous valproate used to treat status epilepticus in an 11-year-old girl.,"[['valproate', 'hypotension']]","[['valproate','severe hypotension']]"
"The most likely cause of liver failure in this patient was, therefore, clarithromycin, which undergoes hepatic metabolism and has been reported to cause fulminant hepatic failure.","[['clarithromycin', 'fulminant hepatic failure'], ['clarithromycin', 'liver failure']]","[['clarithromycin', 'fulminant hepatic failure']]"
Can roxithromycin and betamethasone induce acute pancreatitis? A case report.,"[['betamethasone', 'acute pancreatitis'], ['roxithromycin', 'acute pancreatitis']]","[['betamethasone', 'acute pancreatitis'], ['roxithromycin', 'acute pancreatitis']]"
Progression of chronic myeloid leukemia to blast crisis during treatment with imatinib mesylate.,"[['imatinib mesylate', 'blast crisis']]","[['imatinib mesylate', 'blast crisis']]"
Sensorineural hearing loss due to quinine therapy for malaria has frequently been mentioned in the literature but has not been a subject of research during the last decades.,"[['quinine', 'Sensorineural hearing loss']]","[['quinine', 'Sensorineural hearing loss']]"
The authors report five additional cases of capecitabine-induced multifocal leukoencephalopathy.,"[['capecitabine', 'multifocal leukoencephalopathy']]","[['capecitabine','multifocal leukoencephalopathy']]"
We report the case of a 14-year-old female with acute promyelocytic leukemia who developed symptomatic cardiomyopathy only 4 months into treatment with a combination of daunomycin and all-trans retinoic acid (ATRA).,"[['all-trans retinoic acid', 'symptomatic cardiomyopathy'], ['ATRA', 'symptomatic cardiomyopathy'], ['daunomycin', 'symptomatic cardiomyopathy']]","[['daunocinic acid', 'cardiomyopathy'], ['ATRA', 'cardiomyopathy'], ['daunocinic acid','symptomatic cardiomyopathy']]"
"We postulate that gastritis caused by dexamethasone, mucositis caused by doxorubicin, and the unique anatomic nature of a Meckel diverticulum may have contributed to this extremely unlikely and previously unreported event.","[['dexamethasone', 'gastritis'], ['doxorubicin', 'mucositis']]","[['doxorubicin','mucositis'], ['dexamethasone', 'gastritis'], ['doxorubicin', 'gastritis'], ['dexamethasone', 'gastritis'], ['doxorubicin', 'gastritis']]"
"DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.","[['lansoprazole', 'thrombocytopenia'], ['lansoprazole', 'thrombocytopenic']]","[['lansoprazole', 'thrombocytopenia']]"
Acute drug induced hepatitis due to erlotinib.,"[['erlotinib', 'hepatitis']]","[['erlotinib', 'hepatitis']]"
over the past 3 years there have been several reports of uveitis associated with rifabutin therapy.,"[['rifabutin', 'uveitis']]","[['rifabutin', 'uveitis']]"
It is well-recognized that flucloxacillin may occasionally result in fatal hepatic injury.,"[['flucloxacillin', 'fatal hepatic injury']]","[['flucloxacillin', 'fatal hepatic injury']]"
"Ocular hypertension occurred 1 month after the second ranibizumab injection in patients 1 and 3, and 1 month after the first ranibizumab in patient 2.","[['ranibizumab', 'Ocular hypertension']]","[['ranibizumab', 'Ocular hypertension']]"
We describe a detailed case of fulminant hepatitis induced by nevirapine (Viramune) and treated by liver transplantation.,"[['nevirapine', 'fulminant hepatitis'], ['Viramune', 'fulminant hepatitis']]","[['nevirapine', 'fulminant hepatitis'], ['Viramune', 'fulminant hepatitis']]"
OBJECTIVE: To describe a case of thrombocytopenia associated with the administration of lansoprazole.,"[['lansoprazole', 'thrombocytopenia']]","[['lansoprazole', 'thrombocytopenia']]"
Ciprofloxacin-induced psychosis.,"[['Ciprofloxacin', 'psychosis']]","[['Ciprofloxacin', 'psychosis']]"
Physicians should be aware of the potential for developing a gemcitabine-induced radiation recall reaction resulting in hemodynamically significant pericardial effusion.,"[['gemcitabine', 'pericardial effusion'], ['gemcitabine', 'radiation recall reaction']]","[['gemcitabine', 'pericardial effusion'], ['gemcitabine', 'radiation recall reaction']]"
Anaphylaxis to intravenous cyclosporine and tolerance to oral cyclosporine: case report and review.,"[['cyclosporine', 'Anaphylaxis']]","[['cyclosporine', 'Anaphylaxis']]"
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.","[['insulin', 'protamine allergy']]","[['insulin', 'insulin allergy']]"
Sixteen of 33 patients developed significant hyponatremia and hypoosmolality during oral treatment with lorcainide.,"[['lorcainide', 'hyponatremia'], ['lorcainide', 'hypoosmolality']]","[['lorcainide', 'hyponatremia'], ['lorcainide', 'hypoosmolality']]"
Tumor lysis syndrome after transcatheter arterial infusion of cisplatin and embolization therapy for liver metastases of melanoma.,"[['cisplatin', 'Tumor lysis syndrome']]","[['cisplatin', 'Tumor lysis syndrome']]"
