input,explanations,gold_relations
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,Explanation: Explanation: Explanation: diphenylhydantoin induced gingival hyperplasia needs to be differentiated from angiomatous enlargement of the gingiva.</s></s></s>,"[['diphenylhydantoin', 'gingival hyperplasia']]"
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",Explanation: Explanation: Explanation: D-penicillamine treatment caused anemia and thrombocytopenia in a 66-year-old Japanese woman with severe scleroderma.</s></s></s>,"[['D-Pen', 'anemia'], ['D-penicillamine', 'anemia'], ['D-Pen', 'thrombocytopenia'], ['D-penicillamine', 'thrombocytopenia']]"
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,Explanation: Explanation: Explanation: Bicytopenia was caused by D-Pen and was resolved with the cessation of D-Pen and start of corticosteroid therapy.</s></s></s>,"[['D-Pen', 'bicytopenia']]"
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,Explanation: Explanation: Explanation: D-Pen caused bicytopenia in this patient.</s></s></s>,"[['D-Pen', 'bicytopenia']]"
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,Explanation: Explanation: Explanation: Methimazole caused agranulocytosis in a 48-year-old woman who was treated for thyrotoxicosis.</s></s></s>,"[['methimazole', 'agranulocytosis']]"
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,Explanation: Explanation: Explanation: Hypocalcemic tetany was caused by alendronate sodium and fleet phospho-soda preparation in a patient.</s></s></s>,"[['alendronate sodium', 'hypocalcemic tetany'], ['fleet phospho-soda', 'hypocalcemic tetany']]"
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,"Explanation: Explanation: Explanation: Alendronate, Fleet Phospho-Soda, and Fosamax caused hypocalcemic tetany and hypophosphatemia in the patient.</s></s></s>","[['alendronate', 'hypocalcemic tetany'], ['Fleet Phospho-Soda', 'hypocalcemic tetany'], ['Fosamax', 'hypocalcemic tetany'], ['alendronate', 'hypophosphatemia'], ['Fleet Phospho-Soda', 'hypophosphatemia'], ['Fosamax', 'hypophosphatemia']]"
Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.,Explanation: Explanation: Explanation: Two patients developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.</s></s></s>,"[['gemcitabine', 'thrombotic microangiopathy']]"
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,Explanation: Explanation: Explanation: Two patients undergoing gemcitabine chemotherapy developed renal failure and thrombotic microangiopathy.</s></s></s>,"[['gemcitabine', 'renal failure'], ['gemcitabine', 'Thrombotic microangiopathy']]"
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,Explanation: Explanation: Explanation: B-cell non-Hodgkin's lymphoma was diagnosed in a patient 9 months after treatment with infliximab.</s></s></s>,"[['infliximab', ""B-cell non-Hodgkin's lymphoma""]]"
The relationship between infliximab treatment and lymphoma in Crohn's disease.,Explanation: Explanation: Explanation: There is a relationship between infliximab treatment and lymphoma in Crohn's disease.</s></s></s>,"[['infliximab', 'lymphoma']]"
The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,Explanation: Explanation: Explanation: Infusion with infliximab caused nodular sclerosing Hodgkin's lymphoma in a 29-year-old man with CD.</s></s></s>,"[['infliximab', ""nodular sclerosing Hodgkin's lymphoma""]]"
We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.,Explanation: Explanation: Explanation: Lymphoma was diagnosed in two patients after treatment with infliximab.</s></s></s>,"[['infliximab', 'lymphoma']]"
Codeine intoxication in the neonate.,Explanation: Explanation: Explanation: Codeine intoxication occurred in the neonate.</s></s></s>,"[['Codeine', 'Codeine intoxication']]"
"We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.",Explanation: Explanation: Explanation: Codeine intoxication occurred in a neonate after it was prescribed for cough control.</s></s></s>,"[['codeine', 'codeine intoxication']]"
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,Explanation: Explanation: Explanation: Hydroxyurea and sodium phenylbutyrate have been shown to increase fetal hemoglobin levels in patients with thalassemia intermedia.</s></s></s>,"[['Hydroxyurea', 'increase fetal hemoglobin'], ['sodium phenylbutyrate', 'increase fetal hemoglobin']]"
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.","Explanation: Explanation: Explanation: HU treatment caused an increase in total Hb in four patients, who reported symptomatic improvement.</s></s></s>","[['HU', 'increase in total Hb']]"
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,Explanation: Explanation: Explanation: Low doses of HU were associated with mild reversible hematologic or hepatic toxicity.</s></s></s>,"[['HU', 'hepatic toxicity'], ['HU', 'mild reversible hematologic']]"
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.","Explanation: Explanation: Explanation: Treatment with HU and Sodium phenylbutyrate increased Hb F levels, but failed to increase total Hb.</s></s></s>","[['HU', 'increasing Hb F'], ['Sodium phenylbutyrate', 'increasing Hb F']]"
We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.,Explanation: Explanation: Explanation: Low-dose HU therapy increased total Hb levels and eliminated the need for transfusions in patients with thalassemia intermedia.</s></s></s>,"[['HU', 'increase total Hb']]"
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",Explanation: Explanation: Explanation: Increases in total Hb was observed in patients treated with HU or SPB.</s></s></s>,"[['HU', 'increases in total Hb'], ['SPB', 'increases in total Hb']]"
"A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.",Explanation: Explanation: Explanation: Consuming large quantities of oolong tea caused delirium in a 36-year-old patient with schizophrenia.</s></s></s>,"[['oolong tea', 'delirious']]"
After abstinence from oolong tea his delirium resolved.,"Explanation: Explanation: Explanation: oolong tea caused delirium, which resolved after abstinence.</s></s></s>","[['oolong tea', 'delirium']]"
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,Explanation: Explanation: Explanation: Massive ingestion of oolong tea caused caffeine intoxication and rhabdomyolysis in the patient.</s></s></s>,"[['caffeine', 'caffeine intoxication'], ['oolong tea', 'caffeine intoxication'], ['caffeine', 'rhabdomyolysis'], ['oolong tea', 'rhabdomyolysis']]"
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.","Explanation: Explanation: Explanation: Caffeine present in oolong tea was responsible for delirium, hyponatremia and rhabdomyolysis.</s></s></s>","[['caffeine', 'delirium'], ['caffeine', 'hyponatremia'], ['caffeine', 'rhabdomyolysis'], ['caffeine', 'rhabdomyolysis']]"
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,Explanation: Explanation: Explanation: Caffeine can cause both rhabdomyolysis and water intoxication in a patient due to its massive ingestion.</s></s></s>,"[['caffeine', 'rhabdomyolysis'], ['caffeine', 'water intoxication']]"
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.","Explanation: Explanation: Explanation: Caffeine toxicity caused injured muscle cells, potassium depletion, and unusually severe rhabdomyolysis due to coexisting hyponatremia.</s></s></s>","[['caffeine', 'caffeine toxicity'], ['caffeine', 'coexisting hyponatremia'], ['caffeine', 'injured the muscle cells'], ['caffeine', 'potassium depletion'], ['caffeine', 'rhabdomyolysis']]"
"After the addition of citalopram, a desmethylclomipramine plasma level increase and an 8-hydroacy-desmethylclomipramine plasma level decrease were observed.","Explanation: Explanation: Explanation: After the addition of citalopram, an increase in desmethylclomipramine plasma level and a decrease in 8-hydroacy-desmethylclomipramine plasma level were observed.</s></s></s>","[['citalopram', '8-hydroacy-desmethylclomipramine plasma level decrease'], ['citalopram', 'desmethylclomipramine plasma level increase']]"
We report 3 cases of HIV-1 infected patients who experienced symptomatic angiolipomas shortly after starting antiretroviral therapy including the protease inhibitor indinavir.,Explanation: Explanation: Explanation: HIV-1 infected patients experienced angiolipomas shortly after starting antiretroviral therapy including indinavir.</s></s></s>,"[['indinavir', 'angiolipomas']]"
