input,response
Two infants developed hyperkalemia shortly after cessation of prolonged ACTH therapy for infantile spasms.,"[[""hyperkalemia""], [""ACTH""], [""infantile spasms""]]"
"However, we recently saw two patients with renal tuberculosis treated with ethambutol in whom visual loss from toxic optic neuropathies was severe and irreversible despite careful ophthalmological monitoring and prompt discontinuation of the agent at the first sign of impaired visual function.","[[""ethambutol"",""toxicity""]]"
"OBJECTIVE: To report a case of chronic, nonproductive cough secondary to the angiotensin-converting enzyme (ACE) inhibitor quinapril, with complete resolution after switching to another ACE inhibitor, fosinopril.","[[""fosinopril"",""drug""], [""fosinopril"",""drug class""], [""fosinopril"",""side effect""]]"
Can propofol precipitate pancreatitis in patients with Cushing's syndrome?,"[[""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], [""propofol""], [""Cushing's syndrome""], ["""
Furosemide-associated fever.,"[[""furosemide"",""fever""]]"
The other patient developed transient intraoperative hypertension immediately after inadvertent submucosal injection of concentrated epinephrine.,"[[""epinephrine"",""inadvertent submucosal injection""]]"
Near fatal acute colchicine intoxication in a child.,"[[""colchicine"",""intoxication""]]"
A case of SIADH induced by mizoribin administration.,"[[""mizoribin"",""SIADH""]]"
Acyclovir neurotoxicity: clinical experience and review of the literature.,"[[""acyclovir"",""neurotoxicity""]]"
Hypernatraemia induced by sodium polystyrene sulphonate (Kayexalate) in two extremely low birth weight newborns.,"[[""Kayexalate"",""hypernatraemia""]]"
"In the present paper, we discuss the first Japanese vivax malaria patient whose QT interval was prolonged after treatment with halofantrine.","[[""halofantrine"",""QT interval""]]"
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,"[[""5-FU"",""toxicity""]]"
A patient with alcoholic cerebellar degeneration had periodic alternating nystagmus during a period of phenytoin intoxication.,"[[""phenytoin"",""intoxication""]]"
"Therefore, parenteral amiodarone was implicated as the cause of acute hepatitis in this patient.","[[""amiodarone"",""acute hepatitis""]]"
Primary CNS lymphoma complicating treatment of myasthenia gravis with mycophenolate mofetil.,"[[""mycophenolate mofetil"",""primary CNS lymphoma""]]"
"In this case report, we have described a patient with Crohn's disease who developed subfulminant hepatitis B after the fourth infusion of infliximab due to an unrecognized HBs-antigen carrier state.","[[""infliximab"",""subfulminant hepatitis B""]]"
Acute onset of nephrotic syndrome during interferon-alpha retreatment for chronic active hepatitis C.,"[[""nephrotic syndrome""], [""interferon-alpha""], [""nephrotic syndrome""], [""interferon-alpha""], [""chronic active hepatitis C""]]"
"Only after three subsequent episodes of severe, symptomatic thrombocytopenia over the next four weeks did he say, upon repeat questioning, that he had continued to take quinine for night leg cramps.","[[""quinine"",""night leg cramps""]]"
"After intravitreal injection of triamcinolone acetonide, cataract may rapidly develop in eyes that have been intensively treated, topically and systemically, by corticosteroids for several years.","[[""triamcinolone acetonide"",""cataract""]]"
This is a unique autopsy case of hepatocellular carcinoma closely related to diethylstilbestrol (DES) therapy for prostatic cancer.,"[[""hepatocellular carcinoma""], [""diethylstilbestrol""], [""autopsy""]]"
Prick tests and intradermal tests with a series of dilutions of carboplatin and cisplatin were performed on three patients who had exhibited medium and severe hypersensitivity reactions to carboplatin.,"[[""carboplatin"",""hypersensitivity reaction""]]"
Can magnesium sulfate therapy impact lactogenesis?,"[[""magnesium sulfate"",""impact""]]"
"A variety of movement disorders are known to occur in association with carbamazepine (CBZ) therapy in adults and children, but development of tics has been described infrequently and only in patients with underlying Tourette's syndrome or other movement disorders.","[[""Carbamazepine"",""drug interaction""]]"
"After initiation of topical vitamin D3 ointment (20 micro g/g of tacalcitol) 10 g/day for the skin lesions, both the serum level of calcium and urinary excretion of calcium increased gradually.","[[""vitamin D3"",""serum level""]]"
"This case emphasizes the importance of the evaluation of lithium-associated polyuria with a direct measurement of plasma vasopressin, interpreted with simultaneous plasma and urine osmolality to secure the correct diagnosis and ensure appropriate therapeutic management.","[[""Lithium"",""polyuria""]]"
CONCLUSIONS: We report a typical symptoms of Charles-Bonnet syndrome (CBS) in patients with severe AMD after intravitreal Avastin-injections.,"[[""Avastin"",""Charles-Bonnet syndrome""]]"
"The case reported here is of a child given a large dose of intravenous iron sucrose (16 mg/kg) over 3 hours, who subsequently developed features of systemic iron toxicity.","[[""iron sucrose"",""systemic iron toxicity""]]"
Meperidine-associated central nervous system (CNS) excitatory toxicities are believed to be caused by accumulation of the active metabolite normeperidine.,"[[""meperidine"",""metabolite""], [""meperidine"",""CNS excitatory toxicities""]]"
This prompted us to suspect that ddI might be responsible for fulminant hepatitis in all three AIDS patients.,"[[""ddI"",""fulminant hepatitis""]]"
Carbamazepine toxicity following Oxybutynin and Dantrolene administration: a case report.,"[[""carbamazepine"",""toxicity""], [""carbamazepine"",""dantrolene""]]"
Secretory endometrial adenocarcinoma in a patient on tamoxifen for breast cancer: a report of a case.,"[[""tamoxifen"",""cancer""]]"
"Because there were no other obvious causes of renal failure in either patient, we propose that skeletal muscle ischemia developed during vasopressin infusion, followed by release of myoglobin and renal damage.","[[""vasopressin"",""renal failure""]]"
It was concluded that ANCA is closely related to the pathogenesis of crescentic glomerulonephritis and that treatment with PTU appeared to induce ANCA.,"[[""PTU"",""induces ANCA""]]"
"We postulate that cyclosporin, possibly together with ganciclovir, can produce transient brain stem or neuromuscular dysfunction with eye movement abnormality in occasional patients.","[[""cyclosporin"",""drug interaction""], [""cyclosporin"",""drug""], [""cyclosporin"",""side effect""], [""cyclosporin"",""toxicity""]]"
The successful development and implementation of this protocol will have impact on patients who have anaphylactic reactions to MTX but require this medication for specific diseases.,"[[""methotrexate"",""anaphylactic reaction""]]"
"Amiodarone hydrochloride, a new antiarrhythmic agent, has been associated with pulmonary toxicity characterized by cough, dyspnea and diffuse pulmonary infiltrates.","[[""Amiodarone hydrochloride"",""pulmonary toxicity""]]"
CONCLUSION: Significant ocular complications such as an irreversible decrease of visual acuity may develop in patients treated with pegylated interferon.,"[[""pegylated interferon"",""ocular complications""]]"
"In eight patients, a mean decrease in serum Na+ of 8.25 +/- 3.2 mEq/L was observed after a single 200 mg intravenous dose of lorcainide.","[[""lorcainide"",""serum Na+""]]"
We report on a patient who developed acute rhabdomyolysis after taking cerivastatin.,"[[""cerivastatin"",""acute rhabdomyolysis""]]"
BACKGROUND: Colchicine has a known adverse effect on wound healing through its inhibitory effect on tubulin-dependent cell functions and through collagenase activation.,"[[""colchicine"",""adverse effect on wound healing""]]"
The association of central diabetes insipidus (CDI) with lithium use is rare.,"[[""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipidus""], [""lithium""], [""central diabetes insipid"
Intensive high-flux hemodiafiltration is often used in the management of vancomycin toxicity.,"[[""vancomycin"",""toxicity""]]"
Carboplatin hypersensitivity induced by low-dose paclitaxel/carboplatin in multiple platinum-treated patients with recurrent ovarian cancer.,"[[""carboplatin"",""hypersensitivity""]]"
DISCUSSION: Anaphylactoid reactions have been described previously with cisplatin administration.,"[[""cisplatin"",""anaphylactoid reaction""]]"
Baclofen withdrawal syndrome resulting from underdosing of oral baclofen should be considered as a potential source of prolonged fever in the intensive care unit.,"[[""baclofen withdrawal syndrome""], [""baclofen""], [""baclofen""], [""fever""]]"
Levofloxacin induced polymorphic ventricular tachycardia with normal QT interval.,"[[""levofloxacin"",""polymorphic ventricular tachycardia""]]"
Comeoscleral perforation after pterygium excision and intraoperative mitomycin C.,"[[""Mitomycin C"",""intraoperative""]]"
The fourth patient showed RLS symptoms that were initially caused by a 20-mg daily olanzapine dosage and were later mitigated when olanzapine was reduced and ropinirole was administered.,"[[""Ropinirole"",""drug interaction""]]"
"One patient suffered coronary artery vasospasm, attributed to the use of topical 1:1000 epinephrine during surgery.","[[""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""coronary artery vasospasm""], [""cor"
A case of polymyositis with dilated cardiomyopathy associated with interferon alpha treatment for hepatitis B.,"[[""interferon alpha"",""dilated cardiomyopathy""]]"
Two patients with osteomyelitis who developed reversible cholestatic jaundice during treatment with oxacillin derivatives are described.,"[[""oxacillin derivatives"",""cholestatic jaundice""]]"
"The day after methotrexate administration, the patient complained of severe back pain and urinary retention.","[[""methotrexate"",""urinary retention""]]"
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.","[[""olanzapine"",""muscle injury""]]"
"It should be emphasized that the recurrence of nephrotic syndrome was observed after the following chemotherapy, including M-CSF, whereas the bone marrow still remained completely remitted.","[[""nephrotic syndrome""], [""bone marrow""], [""chemotherapy""]]"
"Although visual hallucinations have not been reported as an adverse effect of this agent, we describe three patients who experienced complex visual hallucinations and altered mental status after zonisamide treatment was begun or its dosage increased.","[[""zonisamide"",""adverse effect""]]"
CONCLUSION: There may be an association between raloxifene and the development of malignant mixed mesodermal tumor.,"[[""raloxifene"",""malignant mixed mullerian tumor""]]"
OBJECTIVE: To report the case of a young woman with Graves' disease in whom ototoxicity developed because of propylthiouracil (PTU)-induced antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis.,"[[""Graves' disease""], [""PTU""], [""antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis""]]"
"To our knowledge, this case is the first published report of levofloxacin-induced TEN.","[[""levofloxacin"",""ten""]]"
Fatal interstitial pneumonitis following high-dose intermittent chlorambucil therapy for chronic lymphocyte leukemia.,"[[""chronic lymphocyte leukemia""], [""interstitial pneumonitis""], [""chlorambucil""], [""high-dose intermittent chlorambucil therapy""]]"
Leukopenia due to parvovirus B19 in a Crohn's disease patient using azathioprine.,"[[""Crohn's disease"",""azathioprine""]]"
"Although praziquantel administration may have been effective in killing the parasite in both patients, we are concerned about the production of marked inflammation as a result of treatment.","[[""praziquantel"",""inflammation""]]"
"Phenytoin was discontinued after admission; however, phenytoin 1 g i.v. was given for a tonic-clonic seizure two days after admission, after which swelling of the face and legs and pruritus developed.","[[""phenytoin"",""swelling of the face and legs""]]"
Eosinophilic cystitis after bladder instillation with dimethyl sulfoxide.,"[[""dimethyl sulfoxide"",""instillation""]]"
Subglottic stenosis in Wegener's granulomatosis: development during cyclophosphamide treatment with response to carbon dioxide laser therapy.,"[[""Wegener's granulomatosis""], [""cyclophosphamide""], [""subglottic stenosis""], [""Carbon dioxide laser""]]"
It remains to be seen whether the hepatotoxicity associated with troglitazone is a drug-class effect or specific to troglitazone.,"[[""troglitazone"",""hepatotoxicity""]]"
"To date, this is the first reported case of what appears to be isolated thrombocytopenia associated with lansoprazole.","[[""lansoprazole"",""thrombocytopenia""]]"
5-Fluorouracil cardiotoxicity complicating treatment of stage IIB cervical cancer--case report.,"[[""5-Fluorouracil"",""cardiotoxicity""]]"
"We describe a case of disseminated muscular cysticercosis followed by myositis (fever, diffuse myalgia, weakness of the lower limbs, and inflammatory reaction around dying cysticerci) induced by praziquantel therapy, an event not described previously.","[[""praziquantel"",""disseminated muscular cysticercosis""]]"
Bisphosphonate induced osteochemonecrosis of the jaw mimicking a tumour.,"[[""bisphosphonate"",""tumour""]]"
We report the first histopathologically documented case of oral mucosa pigmentation after OLP treatment with topical tacrolimus.,"[[""oral mucosa pigmentation""], [""oral mucosa pigmentation""], [""topical tacrolimus""], [""oral mucosa pigmentation""]]"
We describe a patient who developed NEH on three separate occasions provoked by two different chemotherapeutic agents--cytarabine and mitoxantrone.,"[[""cytarabine"",""nephrotoxicity""], [""mitoxantrone"",""nephrotoxicity""]]"
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,"[[""acenocoumarol"",""topical use""]]"
Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.,"[[""indinavir"",""nephrolithiasis""]]"
The use of beclomethasone diproprionate inhaler complicated by the development of an eosinophilic pneumonia reaction.,"[[""beclomethasone diproprionate"",""inhaler""]]"
We describe two women who developed HUS after MMC therapy and presented massive pulmonary bleeding.,"[[""MMC"",""hemorrhagic uremic syndrome""]]"
Biopsy-proven acute interstitial nephritis associated with the tyrosine kinase inhibitor sunitinib: a class effect?,"[[""sunitinib"",""acute interstitial nephritis""]]"
"The patient was positive for antibody against complexes of heparin and platelet factor 4, and was diagnosed as heparin-induced thrombocytopenia with thrombosis syndrome (HITTS).","[[""heparin-induced thrombocytopenia with thrombosis syndrome""], [""heparin-induced thrombocytopenia with thrombosis syndrome""], [""heparin-induced thrombocytopenia with thrombosis syndrome""]]"
Seizures associated with fluoxetine therapy are uncommon.,"[[""fluoxetine"",""seizures""]]"
AIM: To report a patient with diabetic rubeosis who suffered from acute retinal ischemic change and stroke after intravitreal injection of bevacizumab.,"[[""bevacizumab"",""acute retinal ischemic change""]]"
A case of aseptic pleuropericarditis in a patient with chronic plaque psoriasis under methotrexate therapy.,"[[""methotrexate"",""aseptic pleuropericarditis""]]"
"The authors describe valproate-induced hyperammonemia and mental status changes in an 88-year-old man, the first known reported case in an elderly patient.","[[""valproate"",""hyperammonemia""]]"
Reversal of gold-induced neutropenia with granulocyte colony-stimulating factor (G-CSF).,"[[""granulocyte colony-stimulating factor"",""reversal""]]"
"In this report, two newborns with congenital heart anomalies demonstrated the harlequin color change, one whose skin findings showed a course related to the dose of systemic prostaglandin E1, suggesting a possible association.","[[""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change""], [""harlequin color change"
"A case of high-grade endometrial stromal sarcoma, confined into an intrauterine polypoid growth, in a woman with a history of breast cancer who was treated with adjuvant tamoxifen.","[[""tamoxifen"",""history of breast cancer""]]"
"Based on our findings, it is thus concluded that cisplatin may cause C. difficile colitis.","[[""C. difficile colitis""], [""cisplatin""], [""cisplatin""], [""C. difficile""]]"
This communication describes a patient who developed Schneiderian first-rank symptoms in the course of treatment with fluvoxamine.,"[[""fluvoxamine"",""Schneiderian first-rank symptoms""]]"
Anaphylaxis to calcitonin.,"[[""calcitonin"",""drug""]]"
Duodenal ulceration: a complication of tolazoline therapy.,"[[""dual-energy X-ray absorptiometry""], [""tolazoline""], [""duodenal ulceration""]]"
Uveitis associated with rifabutin therapy: a clinical alert.,"[[""rifabutin"",""uveitis""]]"
Optic neuropathy developed in a patient with rheumatoid arthritis who had been receiving D-penicillamine for about 1 year.,"[[""D-penicillamine"",""rheumatoid arthritis""]]"
"RESULTS: Ethambutol, and to a lesser extent isoniazid, are both implicated in the development of visually related side effects.","[[""Ethambutol"",""visually related side effects""], [""Ethambutol"",""isoniazid""]]"
Thiopurine methyltransferase deficiency occurs at a frequency of one in 300 and is associated with profound myelosuppression after a short course of azathioprine.,"[[""azathioprine"",""thiopurine methyltransferase deficiency""]]"
The 5 patients had severe renovascular disease which might thus represent a significant risk factor in the development of captopril-induced acute renal failure.,"[[""renovascular disease""], [""captopril""], [""renal failure""]]"
Gemcitabine-induced pulmonary toxicity is usually a dramatic condition.,"[[""gemcitabine"",""pulmonary toxicity""]]"
Gemcitabine should be added to the list of drugs known to cause radiation recall.,"[[""Gemcitabine"",""radiation recall""]]"
We report a patient who developed heparin associated thrombocytopenia during continuous arteriovenous haemofiltration and discuss its implications and alternative anticoagulant treatment.,"[[""thrombocytopenia""], [""heparin""], [""arteriovenous haemofiltration""]]"
"Thus, the eosinophilia myalgia syndrome can be associated with parenteral tryptophan administration.","[[""eosinophilia myalgia syndrome""], [""eosinophilia myalgia syndrome""], [""parenteral tryptophan administration""]]"
We report two adults who received gabapentin (GBP) and subsequently developed behavioural side effects.,"[[""gabapentin"",""behavioural side effects""]]"
Severe adenovirus pneumonia (AVP) following infliximab infusion for the treatment of Crohn's disease.,"[[""infliximab"",""adenovirus pneumonia""]]"
Acute dystonic reaction with low-dose pimozide.,"[[""pimozide"",""acute dystonic reaction""]]"
Atypical ventricular tachycardia (torsade de pointes) induced by amiodarone: arrhythmia previously induced by quinidine and disopyramide.,"[[""amiodarone"",""arrhythmia""], [""amiodarone"",""cardiotoxicity""], [""amiodarone"",""torsade de pointes""]]"
"Typical symptoms of active CD occurred 11, 12, and 26 months after start of etanercept therapy, respectively.","[[""etanercept"",""active cutaneous disease""]]"
"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.","[[""carbamazepine"",""lupus erythematosus""]]"
Abnormalities of the pupil and visual-evoked potential in quinine amblyopia.,"[[""quinine"",""abnormalities of the pupil and visual-evoked potential""]]"
Two of the five patients who worsened motorically also developed encephalopathy during risperidone treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.,"[[""risperidone"",""encephalopathy""]]"
A case of noncardiogenic pulmonary edema by ethanolamine oleate.,"[[""ethanolamine oleate"",""noncardiogenic pulmonary edema""]]"
"Although high-dose methotrexate has been shown to be useful in the treatment of primary osteogenic sarcoma, the tumoricidal effects of therapy appear to have caused a fatal rise in intracranial pressure.","[[""methotrexate"",""tumoricidal effects""]]"
"Fever and maculopapular rashes appeared at 10 days after phenytoin initiation, and then the drug was discontinued.","[[""phenytoin"",""rash""]]"
The authors' results suggest that L-dopa may cause daytime somnolence in some patients with Parkinson's disease.,"[[""Parkinson's disease"",""drug side effect""]]"
A 75-year-old man developed bilateral lower leg edema 6 months after switching from troglitazone to pioglitazone.,"[[""pioglitazone"",""lower leg edema""]]"
Severe serotonin syndrome induced by mirtazapine monotherapy.,"[[""mirtazapine"",""serotonin syndrome""]]"
CCBs should be considered in the treatment of 5-FU or capecitabine-induced headaches.,"[[""5-FU"",""headache""], [""capecitabine"",""headache""]]"
"Interferon-induced psychosis as a ""psychiatric contraindication"" to hepatitis C treatment: a review and case-based discussion.","[[""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""], [""Interferon-induced psychosis""]]"
We observed ventricular fibrillation in 2 patients who presented to the emergency department with pre-excited atrial fibrillation and were given 12 mg of adenosine.,"[[""ventricular fibrillation""], [""adenosine""], [""ventricular fibrillation""], [""adenosine""], [""ventricular fibrillation""], [""adenosine""], [""ventricular fibrillation""]]"
Reversible nonthrombocytopenic palpable purpura associated with metoclopramide.,"[[""reversible nonthrombocytopenic palpable purpura""], [""metoclopramide""], [""reversible nonthrombocytopenic palpable purpura""]]"
Two cases of childhood-onset schizophrenia associated with clozapine-induced akathisia responsive to beta-blocker treatment are described.,"[[""clozapine"",""akathisia""]]"
Hyperammonemia has been described as a complication of valproic acid therapy but may often be overlooked as a cause of lethargy in the postictal patient who presents to the emergency department.,"[[""valproic acid"",""hyperammonemia""]]"
Acute kidney injury caused by zonisamide-induced hypersensitivity syndrome.,"[[""zonisamide"",""acute kidney injury""]]"
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.","[[""hypertension""], [""status epilepticus""], [""intracerebral hemorrhage""], [""respiratory failure""]]"
"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration (Calsynar).","[[""Calsynar"",""rhinitis""]]"
This case demonstrates the value of DWI in evaluation and diagnosis of sub-acute toxic leukoencephalopathy in patients being treated with methotrexate.,"[[""sub-acute toxic leukoencephalopathy""], [""methotrexate""], [""DWI""]]"
"Although a few case reports link metronidazole with the development of pseudomembranous colitis, albendazole has not been associated with the development of this condition.","[[""Albendazole"",""pseudomembranous colitis""]]"
"The epivodes of NMS occured under treatment with clozapine, risperidone, and amisulpride.","[[""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""], [""Non-Motor Somatosensory Syndrome""]]"
Syndrome of inappropriate antidiuretic hormone associated with vinorelbine therapy.,"[[""Syndrome of inappropriate antidiuretic hormone""], [""vinorelbine""], [""Syndrome of inappropriate antidiuretic hormone""], [""vinorelbine""], [""Syndrome of inappropriate antidiuretic hormone""]]"
A depressed woman with no history of bipolar illness developed a manic episode during treatment with fluoxetine.,"[[""fluoxetine"",""manic episode""]]"
The hearing impairment and tinnitus were gradually reduced after PTU withdrawal and corticosteroid and azathioprine treatment.,"[[""azathioprine"",""hearing impairment""]]"
"CASE SUMMARY: We report the case of a 31-year-old patient hospitalized due to behavioral alterations and treated with oral zuclopenthixol, an antipsychotic from the thioxanthene family, who developed an acute, painful erection.","[[""zuclopenthixol"",""acute, painful erection""]]"
This case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 French coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm.,"[[""nitroglycerin"",""infusion""]]"
Tenofovir-associated nephrotoxicity in two HIV-infected adolescent males.,"[[""tenofovir"",""nephrotoxicity""]]"
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,"[[""hyperphosphatemia""], [""sodium phosphate enema""], [""liver dysfunction""]]"
"Approximately 15 min after the first administration of nebulised morphine the patient became markedly bradypneic (respiratory rate: 4-5 bpm), hypotensive (BP 70/40 mmHg), and responded only partially to command.","[[""bradypnea""], [""hypotension""], [""nebulised morphine""]]"
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.","[[""cisplatin"",""hypersensitivity reaction""]]"
Captopril-induced pulmonary infiltrates with eosinophilia in an infant with congenital heart disease.,"[[""captopril"",""pulmonary infiltrates""]]"
Aggressive endometrial carcinoma in a breast cancer patient treated with tamoxifen with normal transvaginal ultrasonography.,"[[""tamoxifen"",""aggressive endometrial carcinoma""]]"
Skin manifestations of a case of phenylbutazone-induced serum sickness-like reactions.,"[[""phenylbutazone"",""skin manifestations""]]"
Additive pulmonary toxicity with melphalan and busulfan therapy.,"[[""melphalan"",""pulmonary toxicity""], [""busulfan"",""pulmonary toxicity""]]"
"In this case, discontinuing piroxicam, a nonsteroidal anti-inflammatory drug, and starting a palliative treatment plan helped resolve a patient's ulcers.","[[""piroxicam"",""discontinue""]]"
We report a case of a scleroderma-like reaction induced by long-term administration of UFT.,"[[""UFT"",""scleroderma-like reaction""]]"
"Prior to surgery, levodopa induced dyskinesia had improved (< or = 50%) under treatment with amantadine (400 mg/day, po) in all three patients.","[[""levodopa"",""dyskinesia""]]"
Hyponatraemia during low-dose carbamazepine therapy.,"[[""carbatazepine"",""hyponatraemia""]]"
The renal consequences of indinavir-associated nephrotoxicity are uncertain.,"[[""indinavir"",""nephrotoxicity""]]"
"We report the case of a patient with increased cerebral cortical excitability following intoxication with flupirtine, a centrally acting analgesic and antispastic drug.","[[""flupirtine"",""intoxication""]]"
"When the disease recurred conventional amphotericin B was used again, but had to be stopped because of severe side effects.","[[""amphotericin B"",""severe side effects""]]"
"Carbamazepine hypersensitivity syndrome is a rare, life-threatening condition.","[[""carbamazepine hypersensitivity syndrome""], [""carbamazepine""]]"
"We observed 5 reactions in 3 patients that appear to be related to a high dose-infusion time ratio, indicating that dose and rate of infusion may be important factors in precipitating anaphylactoid reactions with cisplatin.","[[""cisplatin"",""anaphylactoid reaction""]]"
Hypertension develops in most patients after transplantation when immunosuppression is based on cyclosporine and prednisone.,"[[""cyclosporine"",""hypertension""]]"
Methotrexate-induced papular eruption following treatment of psoriasis has not been previously reported.,"[[""methotrexate"",""papular eruption""]]"
"After 1 week of nefazodone therapy the patient experienced headache, confusion, and ""gray areas"" in her vision, without abnormal ophthalmologic findings.","[[""nefazodone"",""headache""]]"
"Occasionally, despite good therapeutic response, clozapine must be stopped due to dangerous side effects such as agranulocytosis.","[[""clozapine"",""agranulocytosis""]]"
Administration of pyridoxine to an infant after a long period of convulsions was followed by acute hypotonia.,"[[""pyridoxine"",""acute hypotonia""]]"
A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate.,"[[""rheumatoid arthritis""], [""sodium aurothiomalate""], [""acute intrahepatic cholestasis""]]"
Macular infarction after endophthalmitis treated with vitrectomy and intravitreal gentamicin.,"[[""macular infarction""], [""macular infarction""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction""], [""vitreous""], [""macular infarction"
"Within 6 months of pranlukast withdrawal, anemia resolved and urinary sediment and renal function normalized.","[[""pranlukast"",""renal function""]]"
Self-limited edema is a well-recognized complication of insulin therapy.,"[[""Self-limited edema""], [""insulin""], [""Self-limited edema""], [""Insulin""], [""Self-limited edema""]]"
"A patient suffering from heparin-associated thrombocytopenia (HAT), recurrent arteriothromboses, and acute renal failure after treatment with standard heparin is described.","[[""heparin-associated thrombocytopenia""], [""heparin""], [""heparin""], [""recurrent arteriothromboses""]]"
"The concomitant use, however, of colchicine and statin has been associated with the rapid onset of muscle weakness.","[[""colchicine"",""muscle weakness""]]"
The allopurinol hypersensitivity syndrome is a rare adverse drug reaction.,"[[""allopurinol"",""adverse drug reaction""]]"
Histopathology of the thyroid in amiodarone-induced hypothyroidism.,"[[""amiodarone"",""hypothyroidism""]]"
We report two cases that developed acute myeloid leukaemia (AML) during tamoxifen therapy for breast cancer.,"[[""Acute myeloid leukaemia""], [""Tamoxifen""], [""Breast cancer""]]"
Four patients receiving high-dose tamoxifen for greater than 1 year have demonstrated similar retinal changes.,"[[""tamoxifen"",""retinal changes""]]"
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,"[[""levodopa"",""refractory akathisia""]]"
"CONCLUSION: While thrombosis has been reported with GnRH-a therapy in men with prostate cancer, its association with treatment in this benign case may have been a consequence of the massive tumor size.","[[""thrombosis""], [""GnRH-a""], [""massive tumor""]]"
Phenylpropanolamine (PPA) recently has been publicly implicated as a cause of stroke and other neurologic events.,"[[""Phenylpropanolamine"",""stroke""]]"
